Sr No.,Acknowledgement No,Bank A/C Number,IFSC Code,Address,Amount,Disputed Amount,Bank Name
207,ACK2025000207,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",24292,22478,Yes Bank
208,ACK2025000208,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",51802,42346,HDFC Bank
209,ACK2025000209,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",6036,6009,Punjab National Bank
210,ACK2025000210,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",51153,41493,Punjab National Bank
211,ACK2025000211,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",34118,30913,IndusInd Bank
212,ACK2025000212,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",7266,6187,State Bank of India
213,ACK2025000213,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",50255,40052,ICICI Bank
214,ACK2025000214,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",24327,21870,Bank of Baroda
215,ACK2025000215,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",35759,31476,Bank of Baroda
216,ACK2025000216,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",34392,28408,ICICI Bank
217,ACK2025000217,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",30811,27685,ICICI Bank
218,ACK2025000218,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",49844,43890,IndusInd Bank
219,ACK2025000219,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",28763,27290,Punjab National Bank
220,ACK2025000220,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",11655,11440,IndusInd Bank
221,ACK2025000221,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",30039,23131,HDFC Bank
222,ACK2025000222,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",32075,24752,Yes Bank
223,ACK2025000223,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",38818,36585,ICICI Bank
224,ACK2025000224,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",5186,5051,IndusInd Bank
225,ACK2025000225,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",44763,31831,IndusInd Bank
226,ACK2025000226,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",43875,33690,Punjab National Bank
227,ACK2025000227,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",25104,17717,ICICI Bank
228,ACK2025000228,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",43345,35422,Bank of Baroda
229,ACK2025000229,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",15306,13322,ICICI Bank
230,ACK2025000230,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",54518,39756,ICICI Bank
231,ACK2025000231,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",33640,25011,IndusInd Bank
232,ACK2025000232,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",15299,13159,Bank of Baroda
233,ACK2025000233,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",48619,43118,ICICI Bank
234,ACK2025000234,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",38603,37086,Bank of Baroda
235,ACK2025000235,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",6424,4992,Yes Bank
236,ACK2025000236,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",34810,32592,HDFC Bank
237,ACK2025000237,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",33420,32987,Bank of Baroda
238,ACK2025000238,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",8336,6895,State Bank of India
239,ACK2025000239,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",17361,16677,Bank of Baroda
240,ACK2025000240,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",47099,46498,ICICI Bank
241,ACK2025000241,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",45414,45058,Punjab National Bank
242,ACK2025000242,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",38943,33682,Bank of Baroda
243,ACK2025000243,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",43227,31586,State Bank of India
244,ACK2025000244,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",45894,41588,Bank of Baroda
245,ACK2025000245,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",29815,21846,HDFC Bank
246,ACK2025000246,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",53178,37405,Yes Bank
247,ACK2025000247,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",14029,10453,Bank of Baroda
248,ACK2025000248,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",38534,31244,Bank of Baroda
249,ACK2025000249,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",53204,47575,Bank of Baroda
250,ACK2025000250,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",21946,17909,IndusInd Bank
251,ACK2025000251,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",20103,15770,Bank of Baroda
252,ACK2025000252,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",9974,9585,Bank of Baroda
253,ACK2025000253,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",17804,15491,Bank of Baroda
254,ACK2025000254,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",43876,42135,Bank of Baroda
255,ACK2025000255,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",37936,28148,Bank of Baroda
256,ACK2025000256,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",18097,12724,Punjab National Bank
257,ACK2025000257,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",25151,20936,HDFC Bank
258,ACK2025000258,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",40909,35107,Bank of Baroda
259,ACK2025000259,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",23984,22578,HDFC Bank
260,ACK2025000260,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",26532,24500,Bank of Baroda
261,ACK2025000261,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",29668,28636,State Bank of India
262,ACK2025000262,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",34184,30522,HDFC Bank
263,ACK2025000263,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",14880,13745,ICICI Bank
264,ACK2025000264,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",39799,33941,ICICI Bank
265,ACK2025000265,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",32499,32480,Bank of Baroda
266,ACK2025000266,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",26403,20553,Bank of Baroda
267,ACK2025000267,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",54590,46606,ICICI Bank
268,ACK2025000268,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",49824,44769,Yes Bank
269,ACK2025000269,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",34803,25637,ICICI Bank
270,ACK2025000270,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",46208,39706,IndusInd Bank
271,ACK2025000271,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",33796,31504,Bank of Baroda
272,ACK2025000272,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",24744,18433,ICICI Bank
273,ACK2025000273,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",25180,22272,Yes Bank
274,ACK2025000274,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",11858,10050,Bank of Baroda
275,ACK2025000275,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",52271,51130,IndusInd Bank
276,ACK2025000276,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",7475,6231,Bank of Baroda
277,ACK2025000277,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",35656,29987,ICICI Bank
278,ACK2025000278,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",11349,10686,Bank of Baroda
279,ACK2025000279,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",52335,38792,ICICI Bank
280,ACK2025000280,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",11319,11202,Bank of Baroda
281,ACK2025000281,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",43656,35250,Punjab National Bank
282,ACK2025000282,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",28919,24899,ICICI Bank
283,ACK2025000283,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",5124,3841,ICICI Bank
284,ACK2025000284,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",31418,22993,State Bank of India
285,ACK2025000285,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",27724,21726,IndusInd Bank
286,ACK2025000286,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",47854,41821,ICICI Bank
287,ACK2025000287,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",14421,10315,HDFC Bank
288,ACK2025000288,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",46868,37435,Bank of Baroda
289,ACK2025000289,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",6782,6490,IndusInd Bank
290,ACK2025000290,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",28398,21690,IndusInd Bank
291,ACK2025000291,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",40784,37325,Bank of Baroda
292,ACK2025000292,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",15578,13985,State Bank of India
293,ACK2025000293,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",32435,30183,Bank of Baroda
294,ACK2025000294,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",23252,18090,Bank of Baroda
295,ACK2025000295,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",44566,37222,HDFC Bank
296,ACK2025000296,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",17411,15225,ICICI Bank
297,ACK2025000297,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",53654,39771,Yes Bank
298,ACK2025000298,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",50585,46241,Punjab National Bank
299,ACK2025000299,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",38351,27102,Bank of Baroda
300,ACK2025000300,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",5588,4713,State Bank of India
301,ACK2025000301,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",54683,50914,Bank of Baroda
302,ACK2025000302,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",53220,46460,Bank of Baroda
303,ACK2025000303,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",52975,40370,HDFC Bank
304,ACK2025000304,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",48597,34106,IndusInd Bank
305,ACK2025000305,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",31816,26068,Bank of Baroda
306,ACK2025000306,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",33388,29724,ICICI Bank
307,ACK2025000307,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",53064,47110,State Bank of India
308,ACK2025000308,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",36008,34150,ICICI Bank
309,ACK2025000309,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",7972,6455,State Bank of India
310,ACK2025000310,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",7639,5664,Bank of Baroda
311,ACK2025000311,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",8535,6653,State Bank of India
312,ACK2025000312,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",45595,42287,HDFC Bank
313,ACK2025000313,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",34284,29497,IndusInd Bank
314,ACK2025000314,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",27770,21411,Punjab National Bank
315,ACK2025000315,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",25521,19215,State Bank of India
316,ACK2025000316,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",14920,11847,IndusInd Bank
317,ACK2025000317,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",40469,37394,Bank of Baroda
318,ACK2025000318,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",26506,20301,Bank of Baroda
319,ACK2025000319,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",20987,19258,Yes Bank
320,ACK2025000320,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",47679,42428,Punjab National Bank
321,ACK2025000321,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",6372,4797,ICICI Bank
322,ACK2025000322,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",48254,39049,Bank of Baroda
323,ACK2025000323,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",13459,12364,Bank of Baroda
324,ACK2025000324,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",23682,22238,IndusInd Bank
325,ACK2025000325,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",43802,37493,Bank of Baroda
326,ACK2025000326,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",47085,42493,Punjab National Bank
327,ACK2025000327,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",12291,11471,Bank of Baroda
328,ACK2025000328,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",9978,7584,Bank of Baroda
329,ACK2025000329,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",45917,35045,Punjab National Bank
330,ACK2025000330,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",41573,34320,Bank of Baroda
331,ACK2025000331,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",5895,5044,Bank of Baroda
332,ACK2025000332,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",40526,29152,ICICI Bank
333,ACK2025000333,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",43661,34212,IndusInd Bank
334,ACK2025000334,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",47246,35372,Bank of Baroda
335,ACK2025000335,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",26299,26287,ICICI Bank
336,ACK2025000336,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",23405,20611,IndusInd Bank
337,ACK2025000337,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",18992,14674,IndusInd Bank
338,ACK2025000338,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",48749,42876,Bank of Baroda
339,ACK2025000339,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",41837,39139,Yes Bank
340,ACK2025000340,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",28563,28260,IndusInd Bank
341,ACK2025000341,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",30595,28257,IndusInd Bank
342,ACK2025000342,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",11820,11325,Yes Bank
343,ACK2025000343,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",38930,34459,ICICI Bank
344,ACK2025000344,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",22312,17100,Bank of Baroda
345,ACK2025000345,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",44501,39550,Punjab National Bank
346,ACK2025000346,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",33319,23343,IndusInd Bank
347,ACK2025000347,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",32827,29707,Bank of Baroda
348,ACK2025000348,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",43213,38557,Bank of Baroda
349,ACK2025000349,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",44299,33726,State Bank of India
350,ACK2025000350,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",48169,38693,HDFC Bank
351,ACK2025000351,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",21356,16177,Bank of Baroda
352,ACK2025000352,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",14138,12616,IndusInd Bank
353,ACK2025000353,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",14103,12435,Yes Bank
354,ACK2025000354,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",45162,40845,IndusInd Bank
355,ACK2025000355,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",37093,29610,ICICI Bank
356,ACK2025000356,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",44943,36117,HDFC Bank
357,ACK2025000357,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",40175,29072,ICICI Bank
358,ACK2025000358,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",33903,27797,ICICI Bank
359,ACK2025000359,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",37894,29087,Bank of Baroda
360,ACK2025000360,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",16157,14544,Bank of Baroda
361,ACK2025000361,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",6972,6851,Punjab National Bank
362,ACK2025000362,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",36554,31128,Yes Bank
363,ACK2025000363,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",15412,11827,Yes Bank
364,ACK2025000364,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",5609,4950,ICICI Bank
365,ACK2025000365,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",8070,5811,HDFC Bank
366,ACK2025000366,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",39167,39073,State Bank of India
367,ACK2025000367,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",10635,9463,HDFC Bank
368,ACK2025000368,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",23842,18722,IndusInd Bank
369,ACK2025000369,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",29506,25950,HDFC Bank
370,ACK2025000370,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",30192,27698,State Bank of India
371,ACK2025000371,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",35253,31972,Bank of Baroda
372,ACK2025000372,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",24272,20439,Bank of Baroda
373,ACK2025000373,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",50213,41006,IndusInd Bank
374,ACK2025000374,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",49566,43032,Bank of Baroda
375,ACK2025000375,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",33301,26296,ICICI Bank
376,ACK2025000376,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",39905,30602,Bank of Baroda
377,ACK2025000377,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",7378,5224,State Bank of India
378,ACK2025000378,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",19293,16558,Yes Bank
379,ACK2025000379,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",18388,17351,Yes Bank
380,ACK2025000380,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",30561,24802,Bank of Baroda
381,ACK2025000381,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",10422,8485,Bank of Baroda
382,ACK2025000382,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",16563,12502,ICICI Bank
383,ACK2025000383,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",5610,4070,ICICI Bank
384,ACK2025000384,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",10836,8854,Punjab National Bank
385,ACK2025000385,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",54980,48440,ICICI Bank
386,ACK2025000386,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",33184,24977,IndusInd Bank
387,ACK2025000387,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",16555,15055,Punjab National Bank
388,ACK2025000388,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",43573,30809,Bank of Baroda
389,ACK2025000389,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",18505,16947,IndusInd Bank
390,ACK2025000390,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",22738,17362,Bank of Baroda
391,ACK2025000391,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",8300,8102,Bank of Baroda
392,ACK2025000392,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",18182,16060,IndusInd Bank
393,ACK2025000393,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",19208,14640,Bank of Baroda
394,ACK2025000394,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",46051,34442,Bank of Baroda
395,ACK2025000395,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",41865,32091,Bank of Baroda
396,ACK2025000396,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",49363,44877,Bank of Baroda
397,ACK2025000397,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",26795,23957,HDFC Bank
398,ACK2025000398,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",9211,8032,ICICI Bank
399,ACK2025000399,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",44483,36074,Bank of Baroda
400,ACK2025000400,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",14761,13765,Bank of Baroda
401,ACK2025000401,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",26659,25072,Punjab National Bank
402,ACK2025000402,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",43633,41528,State Bank of India
403,ACK2025000403,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",22976,22974,ICICI Bank
404,ACK2025000404,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",25917,22286,State Bank of India
405,ACK2025000405,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",21436,18656,IndusInd Bank
406,ACK2025000406,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",6328,4767,State Bank of India
407,ACK2025000407,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",47651,44564,Bank of Baroda
408,ACK2025000408,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",44926,35120,Bank of Baroda
409,ACK2025000409,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",32874,26465,Bank of Baroda
410,ACK2025000410,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",50691,44551,Bank of Baroda
411,ACK2025000411,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",48785,34439,Yes Bank
412,ACK2025000412,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",22012,19396,State Bank of India
